dt,LandAverageTemperature,LandAverageTemperatureUncertainty,LandAverageTemperaturePlusUncertainty,LandAverageTemperatureMinusUncertainty
1779-08-01,13.799,1.4780000000000002,15.277,12.321
1779-09-01,12.683,1.8090000000000002,14.492,10.873999999999999
1779-10-01,9.35,1.544,10.894,7.805999999999999
1779-11-01,5.7700000000000005,2.258,8.028,3.5120000000000005
1779-12-01,2.269,3.2560000000000002,5.525,-0.9870000000000001
1780-01-01,2.515,3.438,5.953,-0.923
1780-02-01,4.08,3.179,7.259,0.9010000000000002
1780-03-01,5.724,2.381,8.105,3.3430000000000004
1780-04-01,13.732,3.0580000000000003,16.79,10.674
1780-05-01,15.756999999999998,1.419,17.176,14.337999999999997
1780-06-01,14.747,2.9810000000000003,17.728,11.766
1780-07-01,16.183,1.3,17.483,14.883
1780-08-01,12.947,3.1310000000000002,16.078,9.815999999999999
1780-09-01,8.844,2.104,10.948,6.739999999999999
1780-10-01,9.376,1.8730000000000002,11.248999999999999,7.502999999999999
1780-11-01,6.706,2.596,9.302,4.11
1780-12-01,2.584,3.5580000000000003,6.142,-0.9740000000000002
1781-01-01,2.401,4.948,7.349,-2.5470000000000006
1781-02-01,2.267,3.5810000000000004,5.848000000000001,-1.3140000000000005
1781-03-01,4.772,2.443,7.215,2.329
1781-04-01,6.922999999999999,2.076,8.998999999999999,4.8469999999999995
1781-05-01,11.102,1.838,12.940000000000001,9.264
1781-06-01,11.677999999999999,1.385,13.062999999999999,10.293
1781-07-01,14.285,1.696,15.981,12.589
1781-08-01,14.140999999999998,1.004,15.144999999999998,13.136999999999999
1781-09-01,10.303999999999998,3.69,13.993999999999998,6.613999999999999
1781-10-01,8.546999999999999,1.2819999999999998,9.828999999999999,7.264999999999999
1781-11-01,7.523,1.676,9.199,5.8469999999999995
1781-12-01,3.2880000000000003,4.427,7.715,-1.1389999999999993
1782-01-01,0.3410000000000002,3.5469999999999997,3.888,-3.2059999999999995
1782-02-01,0.6389999999999998,4.862,5.5009999999999994,-4.223000000000001
1782-03-01,2.565,2.221,4.786,0.34399999999999986
1782-04-01,8.617999999999999,2.154,10.771999999999998,6.463999999999999
1782-05-01,10.989999999999998,1.474,12.463999999999999,9.515999999999998
1782-06-01,13.800999999999998,1.517,15.317999999999998,12.283999999999999
1782-07-01,13.925,2.96,16.885,10.965
1782-08-01,15.683,2.487,18.17,13.196
1782-09-01,12.398,1.7280000000000002,14.126,10.67
1782-10-01,8.978,1.8259999999999998,10.804,7.152
1782-11-01,4.956,2.4730000000000003,7.429,2.483
1782-12-01,1.921,3.358,5.279,-1.437
1783-01-01,-1.4310000000000005,5.292999999999998,3.861999999999998,-6.723999999999998
1783-02-01,5.2940000000000005,3.6830000000000003,8.977,1.6110000000000002
1783-03-01,4.799,2.597,7.396000000000001,2.2020000000000004
1783-04-01,8.574,1.564,10.138,7.01
1783-05-01,11.819,2.906,14.725000000000001,8.913
1783-06-01,14.34,1.541,15.881,12.799
1783-07-01,13.069,1.3430000000000002,14.412,11.726
1783-08-01,13.970999999999998,1.6130000000000002,15.583999999999998,12.357999999999999
1783-09-01,9.957999999999998,1.439,11.396999999999998,8.518999999999998
1783-10-01,7.3569999999999975,2.6210000000000004,9.977999999999998,4.735999999999997
1783-11-01,2.196,2.2,4.396000000000001,-0.0040000000000000036
1783-12-01,2.224,3.133,5.357,-0.9089999999999998
1784-01-01,2.596,3.347,5.943,-0.7509999999999999
1784-02-01,0.9890000000000001,2.842,3.8310000000000004,-1.853
1784-03-01,3.919,3.258,7.177,0.661
1784-04-01,8.142000000000001,1.272,9.414000000000001,6.870000000000001
1784-05-01,10.013,1.538,11.551,8.475
1784-06-01,12.802999999999999,1.8,14.603,11.002999999999998
1784-07-01,14.947000000000001,1.8030000000000002,16.75,13.144
1784-08-01,15.861,2.595,18.456,13.266
1784-09-01,10.265999999999998,1.068,11.333999999999998,9.197999999999999
1784-10-01,6.835999999999999,1.68,8.516,5.156
1784-11-01,4.557,2.522,7.079000000000001,2.0350000000000006
1784-12-01,3.415,3.343,6.758,0.07200000000000006
1785-01-01,0.865,2.7539999999999996,3.6189999999999998,-1.8889999999999996
1785-02-01,1.045,2.408,3.453,-1.363
1785-03-01,2.289,4.215,6.504,-1.9259999999999997
1785-04-01,6.379,1.45,7.829,4.928999999999999
1785-05-01,9.853,2.088,11.940999999999999,7.765
1785-06-01,13.744000000000002,2.653,16.397000000000002,11.091000000000001
1785-07-01,14.468,2.215,16.683,12.253
1785-08-01,14.466,2.046,16.512,12.42
1785-09-01,10.497,1.143,11.64,9.354
1785-10-01,7.350999999999999,1.732,9.082999999999998,5.618999999999999
1785-11-01,5.526,2.261,7.787,3.2649999999999997
1785-12-01,1.873,1.909,3.782,-0.03600000000000003
1786-01-01,0.7630000000000001,2.436,3.199,-1.6729999999999998
1786-02-01,2.657,2.463,5.12,0.19399999999999995
1786-03-01,5.648,2.27,7.917999999999999,3.3779999999999997
1786-04-01,9.318,3.0789999999999997,12.396999999999998,6.239
1786-05-01,11.582999999999998,2.387,13.969999999999999,9.195999999999998
1786-06-01,13.035,1.295,14.33,11.74
1786-07-01,15.294,2.311,17.605,12.983
1786-08-01,14.455,3.35,17.805,11.105
1786-09-01,12.158,2.9330000000000003,15.091,9.225
1786-10-01,7.7120000000000015,1.4380000000000002,9.150000000000002,6.274000000000001
1786-11-01,5.7410000000000005,3.8369999999999997,9.578,1.9040000000000008
1786-12-01,0.7339999999999995,2.506,3.2399999999999993,-1.7720000000000002
1787-01-01,2.845,3.176,6.021000000000001,-0.33099999999999996
1787-02-01,2.563,2.842,5.405,-0.2789999999999999
1787-03-01,4.698,3.1260000000000003,7.824000000000001,1.572
1787-04-01,7.7719999999999985,1.5219999999999998,9.293999999999999,6.249999999999998
1787-05-01,11.402999999999999,1.364,12.767,10.038999999999998
1787-06-01,14.369000000000002,2.099,16.468000000000004,12.270000000000001
1787-07-01,13.451,2.425,15.876000000000001,11.026
