datetime,datenum,year,month,day,data_mean_global,data_mean_nh,data_mean_sh
1706-07-15,623300,1706,7,15,275.947246628544,275.031154234934,276.863339022154
1706-08-15,623331,1706,8,15,274.34253522113204,271.96848302744996,276.716587414814
1706-09-15,623362,1706,9,15,274.300644254352,272.064206997182,276.537081511522
1706-10-15,623392,1706,10,15,275.33523628595697,274.171116092894,276.49935647902
1706-11-15,623423,1706,11,15,276.337270461903,276.047840712743,276.626700211064
1706-12-15,623453,1706,12,15,276.97177914770197,277.287961036537,276.655597258866
1707-01-15,623484,1707,1,15,277.429268106641,278.10848804997,276.750048163312
1707-02-15,623515,1707,2,15,277.809209384263,278.761549618349,276.856869150176
1707-03-15,623543,1707,3,15,278.147994655955,279.400938310517,276.895051001394
1707-04-15,623574,1707,4,15,278.385473824518,279.93246748907796,276.838480159959
1707-05-15,623604,1707,5,15,278.326704129795,279.83375395647204,276.819654303119
1707-06-15,623635,1707,6,15,277.59196236136,278.31736493599703,276.866559786723
1707-07-15,623665,1707,7,15,275.950196807256,275.034104413646,276.866289200866
