,datenum,year,month,day,datetime,data_mean_global,data_mean_nh,data_mean_sh
11487,349643,957,4,15,15-Apr-0957 00:00:00,280.366662222055,281.913655886615,278.819668557496
11488,349673,957,5,15,15-May-0957 00:00:00,280.308043508252,281.81509333492903,278.800993681576
11489,349704,957,6,15,15-Jun-0957 00:00:00,279.573480171107,280.29888274574404,278.84807759647003
11490,349734,957,7,15,15-Jul-0957 00:00:00,277.931943857444,277.015851463834,278.848036251054
11491,349765,957,8,15,15-Aug-0957 00:00:00,276.32754288285304,273.95349068917096,278.701595076535
11492,349796,957,9,15,15-Sep-0957 00:00:00,276.285906557624,274.049469300454,278.522343814794
11493,349826,957,10,15,15-Oct-0957 00:00:00,277.320718780071,276.15659858700803,278.484838973134
11494,349857,957,11,15,15-Nov-0957 00:00:00,278.322960037761,278.033530288601,278.612389786922
11495,349887,957,12,15,15-Dec-0957 00:00:00,278.957684037817,279.273865926652,278.64150214898103
11496,349918,958,1,15,15-Jan-0958 00:00:00,279.415417885134,280.09463782846296,278.736197941805
11497,349949,958,2,15,15-Feb-0958 00:00:00,279.795654966867,280.74799520095297,278.84331473278
11498,349977,958,3,15,15-Mar-0958 00:00:00,280.13480832456503,281.387751979127,278.881864670004
11499,350008,958,4,15,15-Apr-0958 00:00:00,280.372750423833,281.919744088393,278.825756759273
11500,350038,958,5,15,15-May-0958 00:00:00,280.314562778436,281.821612605113,278.80751295176003
11501,350069,958,6,15,15-Jun-0958 00:00:00,279.580546583469,280.305949158106,278.85514400883204
11502,350099,958,7,15,15-Jul-0958 00:00:00,277.939674532497,277.023582138887,278.855766926107
11503,350130,958,8,15,15-Aug-0958 00:00:00,276.336053828083,273.962001634401,278.710106021765
11504,350161,958,9,15,15-Sep-0958 00:00:00,276.295292604788,274.05885534761796,278.531729861958
11505,350191,958,10,15,15-Oct-0958 00:00:00,277.331042673962,276.166922480899,278.495162867025
11506,350222,958,11,15,15-Nov-0958 00:00:00,278.334252326303,278.044822577143,278.623682075464
11507,350252,958,12,15,15-Dec-0958 00:00:00,278.96994307206296,279.28612496089903,278.653761183227
11508,350283,959,1,15,15-Jan-0959 00:00:00,279.428609819271,280.1078297626,278.74938987594203
11509,350314,959,2,15,15-Feb-0959 00:00:00,279.809713758209,280.762053992295,278.857373524122
11510,350342,959,3,15,15-Mar-0959 00:00:00,280.14963573356096,281.402579388123,278.896692079
11511,350373,959,4,15,15-Apr-0959 00:00:00,280.38821601406,281.93520967862,278.8412223495
11512,350403,959,5,15,15-May-0959 00:00:00,280.330503916604,281.837553743281,278.823454089928
11513,350434,959,6,15,15-Jun-0959 00:00:00,279.596768439418,280.32217101405496,278.871365864781
11514,350464,959,7,15,15-Jul-0959 00:00:00,277.955950079198,277.039857685588,278.872042472808
11515,350495,959,8,15,15-Aug-0959 00:00:00,276.35212749248797,273.978075298806,278.72617968617
11516,350526,959,9,15,15-Sep-0959 00:00:00,276.310920295088,274.074483037918,278.547357552258
11517,350556,959,10,15,15-Oct-0959 00:00:00,277.34601683482003,276.181896641757,278.510137027883
11518,350587,959,11,15,15-Nov-0959 00:00:00,278.348402343757,278.05897259459704,278.637832092918
11519,350617,959,12,15,15-Dec-0959 00:00:00,278.983135273527,279.299317162363,278.666953384691
11520,350648,960,1,15,15-Jan-0960 00:00:00,279.440747473537,280.119967416866,278.761527530208
11521,350679,960,2,15,15-Feb-0960 00:00:00,279.820737075445,280.773077309531,278.868396841358
11522,350708,960,3,15,15-Mar-0960 00:00:00,280.159521865309,281.412465519871,278.90657821074797
11523,350739,960,4,15,15-Apr-0960 00:00:00,280.39697905324,281.94397271779997,278.84998538867995
11524,350769,960,5,15,15-May-0960 00:00:00,280.33819489751204,281.845244724189,278.831145070836
